PerceptionOfWeight,BMIPCT,WeightPerception
3,66.5318241,About the right weight
1,98.17431868,Very underweight
1,33.07553097,Very underweight
3,45.68833421,About the right weight
3,62.39033084,About the right weight
3,13.9696424,About the right weight
4,80.35879541,Slightly overweight
4,80.08049978,Slightly overweight
3,35.25725233,About the right weight
4,80.35879541,Slightly overweight
4,76.77275392,Slightly overweight
3,41.90226796,About the right weight
3,49.68153626,About the right weight
3,50.94662272,About the right weight
2,69.5988229,Slightly underweight
4,98.54569735,Slightly overweight
4,99.62699856,Slightly overweight
4,95.67686938,Slightly overweight
3,66.97871065,About the right weight
3,77.24197648,About the right weight
3,96.7831408,About the right weight
3,42.1484795,About the right weight
4,94.07864967,Slightly overweight
3,92.75239448,About the right weight
4,94.79064882,Slightly overweight
3,41.70582009,About the right weight
4,96.62103194,Slightly overweight
4,86.84669781,Slightly overweight
3,71.27637135,About the right weight
3,78.9594291,About the right weight
3,75.69056427,About the right weight
3,68.88518339,About the right weight
2,19.66638439,Slightly underweight
4,58.90305846,Slightly overweight
4,87.30348222,Slightly overweight
3,19.34593133,About the right weight
5,97.16947681,Very overweight
3,13.9696424,About the right weight
4,94.79404677,Slightly overweight
3,16.53387163,About the right weight
3,59.97282837,About the right weight
3,29.31796292,About the right weight
3,52.96298965,About the right weight
3,57.45496513,About the right weight
3,62.39033084,About the right weight
2,15.1779208,Slightly underweight
3,1.812713435,About the right weight
3,57.45496513,About the right weight
5,95.05281444,Very overweight
3,43.19281437,About the right weight
3,64.73433168,About the right weight
3,83.03210906,About the right weight
3,85.76711283,About the right weight
3,93.5206906,About the right weight
3,65.88575167,About the right weight
4,87.29843376,Slightly overweight
4,93.98925052,Slightly overweight
4,60.66321529,Slightly overweight
3,50.10948386,About the right weight
3,96.62999717,About the right weight
4,98.44322633,Slightly overweight
3,51.77995186,About the right weight
3,38.53470375,About the right weight
4,97.32417296,Slightly overweight
2,41.70582009,Slightly underweight
3,47.52350758,About the right weight
2,20.46953227,Slightly underweight
3,75.4379744,About the right weight
3,32.74319281,About the right weight
4,92.86925353,Slightly overweight
3,81.62895753,About the right weight
3,45.33714908,About the right weight
4,83.06926617,Slightly overweight
4,91.60778436,Slightly overweight
3,45.33714908,About the right weight
3,36.51881463,About the right weight
3,55.18146429,About the right weight
2,61.92023551,Slightly underweight
3,65.84221705,About the right weight
3,35.20622619,About the right weight
3,97.18899955,About the right weight
3,82.05508744,About the right weight
4,90.62341985,Slightly overweight
3,66.08178759,About the right weight
4,82.19258456,Slightly overweight
3,54.40385458,About the right weight
1,94.7249625,Very underweight
3,52.25342381,About the right weight
3,72.21362837,About the right weight
3,77.04936127,About the right weight
3,26.67157309,About the right weight
5,96.59822418,Very overweight
3,87.00265796,About the right weight
3,71.77163239,About the right weight
3,80.9826523,About the right weight
4,98.45821402,Slightly overweight
3,53.62901996,About the right weight
2,51.32765319,Slightly underweight
3,82.7114493,About the right weight
2,96.62805126,Slightly underweight
3,78.10688836,About the right weight
3,50.27447135,About the right weight
4,97.8304981,Slightly overweight
3,67.35690955,About the right weight
3,99.47646663,About the right weight
2,54.75617318,Slightly underweight
4,89.90649736,Slightly overweight
2,30.89048164,Slightly underweight
3,34.10784442,About the right weight
4,98.13332826,Slightly overweight
3,93.60689746,About the right weight
2,27.81918727,Slightly underweight
3,73.91347781,About the right weight
3,58.167767,About the right weight
3,44.70874303,About the right weight
2,81.5523064,Slightly underweight
4,98.17687957,Slightly overweight
3,81.82099807,About the right weight
3,31.315611,About the right weight
3,42.35560365,About the right weight
2,59.47446449,Slightly underweight
3,52.82514857,About the right weight
3,51.9110774,About the right weight
4,99.50570658,Slightly overweight
2,78.28265536,Slightly underweight
3,69.54558992,About the right weight
3,51.99583271,About the right weight
3,63.68390278,About the right weight
3,32.79325237,About the right weight
4,89.82805567,Slightly overweight
2,50.5995942,Slightly underweight
3,87.50167897,About the right weight
2,23.70077074,Slightly underweight
3,57.38131801,About the right weight
1,59.1349812,Very underweight
4,97.15410227,Slightly overweight
2,51.81370585,Slightly underweight
3,53.65951294,About the right weight
4,95.81029039,Slightly overweight
4,97.10273335,Slightly overweight
3,45.26162121,About the right weight
3,76.3857129,About the right weight
3,63.31177575,About the right weight
3,74.41919519,About the right weight
4,94.89062216,Slightly overweight
3,70.2948453,About the right weight
3,66.5318241,About the right weight
3,46.4073505,About the right weight
4,99.49405991,Slightly overweight
3,79.09665201,About the right weight
3,84.57523065,About the right weight
3,66.83362843,About the right weight
3,79.36575134,About the right weight
4,96.87222741,Slightly overweight
3,79.21086246,About the right weight
3,93.38873457,About the right weight
4,95.04052672,Slightly overweight
4,90.98298351,Slightly overweight
3,92.39337265,About the right weight
3,83.7161669,About the right weight
3,43.14984367,About the right weight
2,15.29718496,Slightly underweight
3,54.40385458,About the right weight
4,99.81899915,Slightly overweight
3,72.06573405,About the right weight
2,16.03372613,Slightly underweight
3,83.90660452,About the right weight
3,52.2899712,About the right weight
5,93.56257408,Very overweight
3,51.44659085,About the right weight
2,76.13913858,Slightly underweight
3,32.3855029,About the right weight
3,13.16010488,About the right weight
3,90.70482965,About the right weight
4,98.46004967,Slightly overweight
4,98.1620765,Slightly overweight
4,87.32744126,Slightly overweight
2,62.75875953,Slightly underweight
3,92.09238408,About the right weight
2,72.40481299,Slightly underweight
3,32.35454194,About the right weight
3,47.11027439,About the right weight
3,73.65945206,About the right weight
3,75.94273757,About the right weight
3,45.84835334,About the right weight
4,91.41797055,Slightly overweight
4,95.26327504,Slightly overweight
4,95.77021638,Slightly overweight
4,97.402769,Slightly overweight
3,70.67451976,About the right weight
4,98.86075815,Slightly overweight
3,16.34633408,About the right weight
2,5.221698862,Slightly underweight
3,85.29469889,About the right weight
3,79.65116681,About the right weight
3,87.66542983,About the right weight
2,50.95276905,Slightly underweight
3,94.34347293,About the right weight
3,84.67610222,About the right weight
3,72.13833601,About the right weight
3,81.5523064,About the right weight
3,71.04906399,About the right weight
3,43.14984367,About the right weight
3,75.73919519,About the right weight
3,56.95841633,About the right weight
3,89.0685033,About the right weight
3,56.12875598,About the right weight
3,69.82409651,About the right weight
4,97.02213328,Slightly overweight
3,89.45507565,About the right weight
3,30.14155853,About the right weight
4,90.445849,Slightly overweight
3,83.32303085,About the right weight
3,44.3547711,About the right weight
2,36.09086758,Slightly underweight
2,32.79325237,Slightly underweight
4,89.46125467,Slightly overweight
3,55.06915825,About the right weight
2,12.7812687,Slightly underweight
3,97.56644906,About the right weight
3,90.64159581,About the right weight
3,93.57446282,About the right weight
3,88.67030744,About the right weight
3,69.8037989,About the right weight
4,91.74867665,Slightly overweight
3,62.47075585,About the right weight
3,62.19393818,About the right weight
4,95.96968872,Slightly overweight
3,52.00817272,About the right weight
4,92.17328593,Slightly overweight
3,29.36620695,About the right weight
2,74.42424318,Slightly underweight
4,93.8171533,Slightly overweight
3,77.43318673,About the right weight
3,31.08786145,About the right weight
3,52.41472276,About the right weight
4,51.05664155,Slightly overweight
4,47.49270385,Slightly overweight
4,87.32319147,Slightly overweight
2,66.84791246,Slightly underweight
3,96.0698293,About the right weight
4,96.53495056,Slightly overweight
4,72.59307595,Slightly overweight
3,57.23154694,About the right weight
3,96.66907244,About the right weight
3,95.06926956,About the right weight
3,95.67864261,About the right weight
3,7.539064645,About the right weight
3,65.88575167,About the right weight
4,99.25075881,Slightly overweight
4,98.60384523,Slightly overweight
4,95.5627807,Slightly overweight
4,93.82384404,Slightly overweight
3,64.26150224,About the right weight
3,95.75831461,About the right weight
2,49.31286868,Slightly underweight
3,80.48537598,About the right weight
4,98.44322633,Slightly overweight
4,98.20741258,Slightly overweight
5,97.37935273,Very overweight
3,82.52624851,About the right weight
4,98.04338304,Slightly overweight
3,72.15157479,About the right weight
3,78.34535674,About the right weight
4,99.1601418,Slightly overweight
2,62.89553884,Slightly underweight
3,51.96787195,About the right weight
3,79.08474787,About the right weight
5,98.89868045,Very overweight
5,97.46205604,Very overweight
2,17.61177125,Slightly underweight
5,98.1460872,Very overweight
5,97.94473227,Very overweight
4,95.23628309,Slightly overweight
3,69.86952348,About the right weight
3,82.18267485,About the right weight
2,41.16151426,Slightly underweight
3,84.69244832,About the right weight
3,0.127623738,About the right weight
3,15.04494477,About the right weight
4,94.54022686,Slightly overweight
3,66.08825915,About the right weight
4,84.68486522,Slightly overweight
5,25.72210511,Very overweight
4,68.36945909,Slightly overweight
2,97.43232997,Slightly underweight
2,88.19401121,Slightly underweight
2,93.76714147,Slightly underweight
2,52.13911665,Slightly underweight
2,97.02213328,Slightly underweight
4,14.02708141,Slightly overweight
2,55.41633193,Slightly underweight
2,51.74396482,Slightly underweight
2,54.82320838,Slightly underweight
1,44.29519256,Very underweight
2,0.351195405,Slightly underweight
2,48.82355055,Slightly underweight
2,24.19083228,Slightly underweight
2,56.12271161,Slightly underweight
2,97.76629197,Slightly underweight
2,84.46222906,Slightly underweight
2,26.68936925,Slightly underweight
2,95.21258449,Slightly underweight
2,96.55158594,Slightly underweight
2,80.3927078,Slightly underweight
2,26.68936925,Slightly underweight
1,96.43759959,Very underweight
2,50.280802,Slightly underweight
2,79.73361306,Slightly underweight
1,84.25378028,Very underweight
2,57.95910476,Slightly underweight
2,81.37814313,Slightly underweight
2,55.15612985,Slightly underweight
2,80.1306852,Slightly underweight
2,1.223660196,Slightly underweight
2,97.17383472,Slightly underweight
2,68.13816439,Slightly underweight
2,19.65942265,Slightly underweight
2,68.08272065,Slightly underweight
2,36.04892235,Slightly underweight
2,36.97117788,Slightly underweight
2,91.16514243,Slightly underweight
2,84.57262784,Slightly underweight
2,97.36508485,Slightly underweight
2,38.77914215,Slightly underweight
2,95.0797674,Slightly underweight
2,60.52327398,Slightly underweight
2,62.22547319,Slightly underweight
2,71.04906399,Slightly underweight
2,67.24002801,Slightly underweight
2,31.17365695,Slightly underweight
2,21.67031209,Slightly underweight
2,82.04981347,Slightly underweight
2,73.69856523,Slightly underweight
2,48.88422202,Slightly underweight
2,25.54426508,Slightly underweight
3,65.72450251,About the right weight
4,2.269521881,Slightly overweight
4,20.78050138,Slightly overweight
2,36.0477335,Slightly underweight
3,32.35454194,About the right weight
4,84.25378028,Slightly overweight
5,72.37341512,Very overweight
2,42.28388655,Slightly underweight
2,40.5504485,Slightly underweight
3,31.07256054,About the right weight
1,18.46382222,Very underweight
4,44.48848749,Slightly overweight
2,17.10726474,Slightly underweight
2,55.87295671,Slightly underweight
2,71.73217243,Slightly underweight
2,64.30723303,Slightly underweight
3,77.20364961,About the right weight
2,77.04936127,Slightly underweight
2,83.65146996,Slightly underweight
2,28.19590588,Slightly underweight
2,70.31917473,Slightly underweight
2,74.73837182,Slightly underweight
2,29.93458107,Slightly underweight
2,52.22408981,Slightly underweight
2,24.60515146,Slightly underweight
2,57.28656414,Slightly underweight
2,20.67025402,Slightly underweight
2,38.66815976,Slightly underweight
2,9.166422739,Slightly underweight
3,39.83290293,About the right weight
3,41.29710255,About the right weight
3,94.85089769,About the right weight
4,74.84675066,Slightly overweight
4,97.23364986,Slightly overweight
3,65.10834035,About the right weight
3,93.4942442,About the right weight
4,95.76721077,Slightly overweight
2,10.55214112,Slightly underweight
3,55.13320687,About the right weight
3,39.03729713,About the right weight
3,75.08579851,About the right weight
3,67.85584641,About the right weight
5,56.12271161,Very overweight
3,72.77371208,About the right weight
4,75.42161697,Slightly overweight
3,71.40661886,About the right weight
3,80.55410129,About the right weight
4,78.9594291,Slightly overweight
3,30.14155853,About the right weight
3,8.572778087,About the right weight
3,52.16728949,About the right weight
3,60.66321529,About the right weight
3,55.18146429,About the right weight
3,63.00335407,About the right weight
3,28.86485531,About the right weight
1,10.18249348,Very underweight
3,15.52368583,About the right weight
4,51.77995186,Slightly overweight
3,41.73731334,About the right weight
1,2.25e-06,Very underweight
4,73.34615457,Slightly overweight
3,89.96770983,About the right weight
1,1.581399578,Very underweight
3,27.29502022,About the right weight
3,28.54864874,About the right weight
3,42.9070731,About the right weight
3,28.36149003,About the right weight
4,76.12920997,Slightly overweight
4,87.16521278,Slightly overweight
3,71.24517665,About the right weight
4,50.642691,Slightly overweight
3,90.7689509,About the right weight
3,97.31596569,About the right weight
2,2.702715023,Slightly underweight
3,93.16003384,About the right weight
2,2.313488775,Slightly underweight
4,99.17328495,Slightly overweight
2,63.47778733,Slightly underweight
3,13.08187583,About the right weight
3,45.28645414,About the right weight
5,98.91230885,Very overweight
4,95.11584958,Slightly overweight
2,96.02199137,Slightly underweight
4,67.24002801,Slightly overweight
2,29.11078354,Slightly underweight
4,91.15175113,Slightly overweight
3,7.402370058,About the right weight
3,2.909291727,About the right weight
4,35.53356949,Slightly overweight
3,30.97488641,About the right weight
3,50.14851643,About the right weight
2,27.25450767,Slightly underweight
3,35.87780684,About the right weight
3,12.10731678,About the right weight
4,84.57523065,Slightly overweight
4,96.60449181,Slightly overweight
2,0.012937873,Slightly underweight
3,64.9623322,About the right weight
3,57.23154694,About the right weight
3,84.60323997,About the right weight
3,63.24664717,About the right weight
3,39.39239835,About the right weight
5,98.40769524,Very overweight
4,90.445849,Slightly overweight
3,35.70830555,About the right weight
3,29.93458107,About the right weight
2,3.624612031,Slightly underweight
4,57.16624079,Slightly overweight
3,0.099974269,About the right weight
3,13.16010488,About the right weight
3,17.74504799,About the right weight
3,78.66079606,About the right weight
5,99.00676486,Very overweight
3,65.01459821,About the right weight
2,11.7578857,Slightly underweight
3,31.95457566,About the right weight
3,84.68839156,About the right weight
2,6.550834406,Slightly underweight
3,83.86652792,About the right weight
3,11.9858923,About the right weight
3,80.72244171,About the right weight
3,74.0489888,About the right weight
2,13.71140227,Slightly underweight
3,69.13085778,About the right weight
3,62.69018255,About the right weight
4,59.36187206,Slightly overweight
3,62.69018255,About the right weight
3,42.73610117,About the right weight
3,63.45918088,About the right weight
3,97.91131841,About the right weight
3,89.43535191,About the right weight
3,55.96980611,About the right weight
4,88.10799552,Slightly overweight
3,86.2705902,About the right weight
3,71.891691,About the right weight
2,16.34633408,Slightly underweight
3,20.41671842,About the right weight
4,87.16138715,Slightly overweight
3,91.62141608,About the right weight
3,40.79455963,About the right weight
1,22.66659312,Very underweight
3,47.57875662,About the right weight
3,93.57446282,About the right weight
3,59.47446449,About the right weight
3,60.06952126,About the right weight
3,26.20415662,About the right weight
4,97.21755336,Slightly overweight
2,3.768482946,Slightly underweight
3,82.23608164,About the right weight
4,95.36539337,Slightly overweight
4,92.91381168,Slightly overweight
4,89.56517468,Slightly overweight
3,51.28932037,About the right weight
3,52.55947074,About the right weight
2,40.8934694,Slightly underweight
4,99.34120298,Slightly overweight
4,97.23548996,Slightly overweight
3,63.8076547,About the right weight
3,63.80400179,About the right weight
3,41.79514038,About the right weight
3,69.13113635,About the right weight
2,84.84665926,Slightly underweight
3,93.25956317,About the right weight
3,73.87758954,About the right weight
3,19.12650374,About the right weight
3,89.82347469,About the right weight
3,97.6817734,About the right weight
3,66.84791246,About the right weight
4,99.5327482,Slightly overweight
2,42.58443965,Slightly underweight
3,87.79133475,About the right weight
3,62.05752496,About the right weight
3,23.56629787,About the right weight
3,66.67372723,About the right weight
2,54.17779991,Slightly underweight
2,1.398242214,Slightly underweight
3,49.07165942,About the right weight
4,83.50451958,Slightly overweight
2,4.861742324,Slightly underweight
2,5.750020485,Slightly underweight
4,77.20364961,Slightly overweight
4,94.68291579,Slightly overweight
5,91.34293389,Very overweight
3,74.41879277,About the right weight
4,95.68925253,Slightly overweight
3,37.18895874,About the right weight
4,93.13918876,Slightly overweight
3,38.60495566,About the right weight
3,68.28334828,About the right weight
3,34.21869952,About the right weight
3,93.11718517,About the right weight
3,45.17144028,About the right weight
1,5.901546091,Very underweight
5,75.19253869,Very overweight
3,88.71558532,About the right weight
3,84.25452085,About the right weight
4,98.62953019,Slightly overweight
1,30.98255809,Very underweight
4,95.12950717,Slightly overweight
4,96.96756116,Slightly overweight
3,49.88343043,About the right weight
3,56.29565269,About the right weight
3,79.66153065,About the right weight
3,80.77690249,About the right weight
3,86.74519316,About the right weight
2,16.03372613,Slightly underweight
4,93.20315098,Slightly overweight
4,94.34347293,Slightly overweight
4,97.1843072,Slightly overweight
4,93.20315098,Slightly overweight
3,88.21172206,About the right weight
3,72.82376292,About the right weight
3,16.73999365,About the right weight
3,58.167767,About the right weight
3,58.40828186,About the right weight
3,53.70643103,About the right weight
3,75.2628239,About the right weight
3,36.8619196,About the right weight
3,92.0955763,About the right weight
3,81.88920139,About the right weight
2,90.49868957,Slightly underweight
3,94.25302614,About the right weight
4,99.05950452,Slightly overweight
3,82.18267485,About the right weight
3,85.72136293,About the right weight
1,53.24794021,Very underweight
3,66.54483144,About the right weight
3,51.61765844,About the right weight
3,98.3498431,About the right weight
3,66.71134102,About the right weight
2,54.40819125,Slightly underweight
3,98.40917302,About the right weight
3,55.68597478,About the right weight
3,81.79666847,About the right weight
5,86.71569586,Very overweight
1,34.20904036,Very underweight
3,91.17759683,About the right weight
4,74.51763205,Slightly overweight
4,89.17900904,Slightly overweight
4,58.09322257,Slightly overweight
3,95.68357951,About the right weight
3,33.66779009,About the right weight
3,91.59481599,About the right weight
3,78.31747374,About the right weight
3,48.66934789,About the right weight
3,73.71563971,About the right weight
3,74.61766754,About the right weight
3,54.38998582,About the right weight
3,87.0929914,About the right weight
3,83.86594073,About the right weight
3,52.55947074,About the right weight
3,64.48479627,About the right weight
3,72.01453889,About the right weight
4,78.10688836,Slightly overweight
4,97.34193033,Slightly overweight
3,62.95970228,About the right weight
3,45.26162121,About the right weight
3,81.37544358,About the right weight
3,89.78692125,About the right weight
3,93.58027647,About the right weight
2,29.14256978,Slightly underweight
2,41.49272193,Slightly underweight
3,58.62211115,About the right weight
3,83.63410521,About the right weight
3,0.06888692,About the right weight
3,70.57774417,About the right weight
3,2.880528749,About the right weight
3,63.79127104,About the right weight
4,92.08608045,Slightly overweight
3,17.74504799,About the right weight
4,76.16361312,Slightly overweight
3,10.89712829,About the right weight
4,80.06893476,Slightly overweight
3,46.07997675,About the right weight
3,10.51649662,About the right weight
3,70.07852644,About the right weight
3,47.52350758,About the right weight
3,50.87045271,About the right weight
4,96.52128507,Slightly overweight
4,96.43961705,Slightly overweight
4,73.02521942,Slightly overweight
4,74.57239196,Slightly overweight
4,54.15385884,Slightly overweight
3,70.40604141,About the right weight
3,49.20619657,About the right weight
3,78.81888198,About the right weight
3,86.1407343,About the right weight
4,91.99165166,Slightly overweight
3,67.52127307,About the right weight
3,31.69146229,About the right weight
3,66.71134102,About the right weight
3,88.70562889,About the right weight
3,33.79539728,About the right weight
3,54.36795158,About the right weight
3,54.63077194,About the right weight
3,25.61355879,About the right weight
3,9.846546229,About the right weight
3,87.3464244,About the right weight
3,85.95780965,About the right weight
3,99.02969173,About the right weight
3,12.16060398,About the right weight
3,48.88422202,About the right weight
3,56.7549496,About the right weight
2,40.05564445,Slightly underweight
2,12.35928755,Slightly underweight
4,97.91385948,Slightly overweight
2,6.550834406,Slightly underweight
3,2.56681879,About the right weight
3,59.36187206,About the right weight
3,59.36187206,About the right weight
4,92.98915736,Slightly overweight
3,31.78001777,About the right weight
4,77.46994059,Slightly overweight
3,10.1969851,About the right weight
3,85.170329,About the right weight
4,89.32589276,Slightly overweight
3,22.86186612,About the right weight
3,83.45551184,About the right weight
3,70.40604141,About the right weight
3,43.19281437,About the right weight
4,82.97393233,Slightly overweight
3,65.80904497,About the right weight
3,61.4875819,About the right weight
4,63.14078915,Slightly overweight
2,29.16525856,Slightly underweight
3,68.26816807,About the right weight
3,61.87699019,About the right weight
3,74.26220694,About the right weight
4,58.8744133,Slightly overweight
3,62.14172597,About the right weight
4,93.79543511,Slightly overweight
3,59.82202109,About the right weight
4,88.43534523,Slightly overweight
3,74.63209612,About the right weight
3,69.13113635,About the right weight
3,55.56148302,About the right weight
3,64.22682777,About the right weight
3,97.35259162,About the right weight
4,75.91512943,Slightly overweight
3,24.19083228,About the right weight
3,47.7153177,About the right weight
2,26.68936925,Slightly underweight
3,91.21895864,About the right weight
2,40.43646118,Slightly underweight
3,87.60528516,About the right weight
3,65.93660653,About the right weight
4,80.06893476,Slightly overweight
3,49.7850387,About the right weight
2,31.47383063,Slightly underweight
3,85.88884383,About the right weight
3,1.93e-07,About the right weight
4,69.13085778,Slightly overweight
3,25.87739237,About the right weight
1,0.083081072,Very underweight
3,98.38097797,About the right weight
4,98.47769537,Slightly overweight
3,94.37294768,About the right weight
3,67.00407505,About the right weight
1,97.26692919,Very underweight
3,44.31506726,About the right weight
3,9.60866394,About the right weight
3,55.49638039,About the right weight
3,49.54884889,About the right weight
3,90.43366411,About the right weight
4,49.99841183,Slightly overweight
3,95.23595706,About the right weight
3,58.3822996,About the right weight
4,87.8987,Slightly overweight
3,38.28337982,About the right weight
3,96.35800023,About the right weight
3,72.03344585,About the right weight
4,93.94948189,Slightly overweight
4,84.25378028,Slightly overweight
3,35.04876286,About the right weight
3,92.62027788,About the right weight
2,12.35928755,Slightly underweight
2,18.94191976,Slightly underweight
3,11.79596595,About the right weight
3,83.81890611,About the right weight
3,62.32337542,About the right weight
3,96.15514454,About the right weight
3,68.87790029,About the right weight
3,93.60197238,About the right weight
3,60.75926332,About the right weight
4,92.63103874,Slightly overweight
3,28.91092809,About the right weight
4,84.98548123,Slightly overweight
3,58.69524984,About the right weight
3,80.48219497,About the right weight
5,99.4071271,Very overweight
4,95.58149175,Slightly overweight
4,75.83754765,Slightly overweight
4,97.80218106,Slightly overweight
4,99.38690541,Slightly overweight
3,38.28337982,About the right weight
2,95.0351687,Slightly underweight
5,96.70162307,Very overweight
3,73.05961868,About the right weight
3,60.50842316,About the right weight
1,52.82514857,Very underweight
1,52.22408981,Very underweight
3,61.78523973,About the right weight
3,57.31734359,About the right weight
4,1.09e-06,Slightly overweight
4,95.16751397,Slightly overweight
2,73.25197415,Slightly underweight
2,18.12467121,Slightly underweight
3,56.04225389,About the right weight
5,6.550834406,Very overweight
4,97.21392691,Slightly overweight
3,79.92192149,About the right weight
3,79.52427005,About the right weight
4,96.62100237,Slightly overweight
3,55.39209463,About the right weight
3,52.00817272,About the right weight
4,84.68486522,Slightly overweight
3,36.41834536,About the right weight
4,61.69382467,Slightly overweight
3,98.50220887,About the right weight
3,60.51961267,About the right weight
3,84.50209709,About the right weight
3,18.46382222,About the right weight
3,94.98242996,About the right weight
4,84.50209709,Slightly overweight
3,38.13156894,About the right weight
3,82.96083327,About the right weight
3,50.87045271,About the right weight
3,68.07050984,About the right weight
2,49.51043175,Slightly underweight
4,98.39425472,Slightly overweight
3,83.15630999,About the right weight
3,93.95733265,About the right weight
1,46.65281051,Very underweight
3,47.13837771,About the right weight
3,90.37184496,About the right weight
3,62.0396385,About the right weight
3,87.18889527,About the right weight
3,93.82451004,About the right weight
3,69.73373776,About the right weight
2,77.72521417,Slightly underweight
3,24.2039299,About the right weight
3,89.69969835,About the right weight
4,95.6699827,Slightly overweight
2,1.112749347,Slightly underweight
3,41.69642287,About the right weight
1,71.18384227,Very underweight
3,56.4762692,About the right weight
3,93.70593285,About the right weight
3,93.53501253,About the right weight
3,59.72383084,About the right weight
4,77.80336579,Slightly overweight
3,85.850767,About the right weight
3,57.95910476,About the right weight
3,47.66003889,About the right weight
4,97.0022349,Slightly overweight
5,89.59113592,Very overweight
5,83.95952719,Very overweight
3,4.542952907,About the right weight
3,89.02230612,About the right weight
4,89.3692002,Slightly overweight
2,65.65602309,Slightly underweight
2,96.39064078,Slightly underweight
3,25.61355879,About the right weight
3,57.7634963,About the right weight
3,69.51240103,About the right weight
2,61.73415715,Slightly underweight
3,69.21299403,About the right weight
4,97.47296053,Slightly overweight
4,95.40169991,Slightly overweight
3,24.78306649,About the right weight
4,87.39539654,Slightly overweight
3,70.90474907,About the right weight
4,85.89509592,Slightly overweight
5,89.00014206,Very overweight
1,45.94823752,Very underweight
3,68.85523045,About the right weight
4,98.58345003,Slightly overweight
3,38.42613501,About the right weight
5,99.04701118,Very overweight
3,47.36951916,About the right weight
4,96.21000485,Slightly overweight
3,58.2330153,About the right weight
4,88.16103385,Slightly overweight
5,95.63081156,Very overweight
4,90.05670299,Slightly overweight
4,74.23946269,Slightly overweight
3,88.54090852,About the right weight
4,98.47670004,Slightly overweight
3,91.87246689,About the right weight
3,73.71563971,About the right weight
4,86.68831688,Slightly overweight
3,40.79455963,About the right weight
3,42.53225571,About the right weight
4,70.84066228,Slightly overweight
4,74.23946269,Slightly overweight
5,98.59438441,Very overweight
3,87.69719593,About the right weight
3,73.49549106,About the right weight
3,74.16259684,About the right weight
3,0.089816787,About the right weight
5,99.51830404,Very overweight
2,3.961497341,Slightly underweight
3,37.55228267,About the right weight
3,49.0050896,About the right weight
4,90.08907671,Slightly overweight
4,96.73975317,Slightly overweight
4,92.98915736,Slightly overweight
3,67.92773224,About the right weight
3,70.24766118,About the right weight
4,90.69075623,Slightly overweight
3,82.88073183,About the right weight
3,79.28331566,About the right weight
4,65.88575167,Slightly overweight
2,3.208522211,Slightly underweight
5,99.92595141,Very overweight
3,91.02771303,About the right weight
3,89.13095081,About the right weight
4,95.16031835,Slightly overweight
3,79.49010291,About the right weight
3,80.50659742,About the right weight
3,65.22758067,About the right weight
3,32.12906956,About the right weight
4,90.63852931,Slightly overweight
3,90.445849,About the right weight
3,42.90615422,About the right weight
3,64.9623322,About the right weight
2,74.79862377,Slightly underweight
3,37.90396026,About the right weight
3,45.31636422,About the right weight
4,96.02165064,Slightly overweight
3,11.68740441,About the right weight
2,70.67451976,Slightly underweight
3,47.49270385,About the right weight
3,67.57774648,About the right weight
2,20.75227445,Slightly underweight
4,90.06772465,Slightly overweight
4,79.34318571,Slightly overweight
4,89.90357427,Slightly overweight
3,48.05850021,About the right weight
3,96.21949411,About the right weight
4,98.6657555,Slightly overweight
3,38.97407692,About the right weight
4,94.66659282,Slightly overweight
4,80.79348995,Slightly overweight
3,72.35308828,About the right weight
3,72.79132938,About the right weight
3,76.38362459,About the right weight
4,96.42814963,Slightly overweight
3,71.18192791,About the right weight
4,98.86047525,Slightly overweight
4,94.79064882,Slightly overweight
3,81.20841596,About the right weight
3,5.070497127,About the right weight
3,95.93874795,About the right weight
3,65.88575167,About the right weight
4,83.90660452,Slightly overweight
5,98.3895016,Very overweight
3,46.40807262,About the right weight
3,88.08579404,About the right weight
4,97.92048132,Slightly overweight
3,41.92174434,About the right weight
2,9.013571525,Slightly underweight
3,68.21013236,About the right weight
4,99.64821934,Slightly overweight
4,75.65036356,Slightly overweight
4,98.57848685,Slightly overweight
3,50.45031829,About the right weight
5,49.77019799,Very overweight
3,73.26786003,About the right weight
4,99.19305849,Slightly overweight
3,80.79348995,About the right weight
3,21.37911604,About the right weight
4,26.01707526,Slightly overweight
4,69.91124718,Slightly overweight
3,44.42268346,About the right weight
2,46.7792279,Slightly underweight
3,98.53367128,About the right weight
3,83.30894196,About the right weight
2,34.55230954,Slightly underweight
3,78.49593958,About the right weight
3,80.0856194,About the right weight
3,64.26150224,About the right weight
4,97.30702879,Slightly overweight
3,23.90166614,About the right weight
4,11.91054027,Slightly overweight
4,98.3261157,Slightly overweight
4,90.51467987,Slightly overweight
3,42.79220671,About the right weight
3,80.10329033,About the right weight
3,77.68619969,About the right weight
3,8.393184485,About the right weight
3,41.16151426,About the right weight
2,23.68951218,Slightly underweight
3,98.20297451,About the right weight
5,99.69149627,Very overweight
3,82.96083327,About the right weight
3,78.39679845,About the right weight
1,45.94823752,Very underweight
3,75.86208809,About the right weight
3,87.89933447,About the right weight
3,98.09399692,About the right weight
3,72.3235904,About the right weight
5,99.5898324,Very overweight
3,70.2948453,About the right weight
3,33.79539728,About the right weight
4,94.02678099,Slightly overweight
3,35.04876286,About the right weight
3,84.07541706,About the right weight
4,98.36845877,Slightly overweight
4,90.83906742,Slightly overweight
